projection method,n_components,variance threshhold,k,nubmber of stimators,distance method,sampeling method,accuracy,precision,recall,f1_score,trainigtime
random,65,0.9052275250951379,9,21,euclidean,stratified,0.7628205128205128,0.7444080741953082,0.7628205128205128,0.7192029848376598,1.705
random,146,0.9191105199610449,7,10,manhattan,oob,0.782051282051282,0.7668269230769231,0.782051282051282,0.7665607120152574,0.006
random,93,0.9550667605250142,4,20,euclidean,stratified,0.8141025641025641,0.8127498164613752,0.8141025641025641,0.8133885896289222,0.015
random,128,0.946281099457225,5,19,euclidean,stratified,0.8012820512820513,0.7951566951566952,0.8012820512820513,0.7765420656986921,0.01
random,56,0.9869068829767104,3,13,manhattan,oob,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8167036215816703,0.013
random,94,0.9445659219100143,5,23,manhattan,stratified,0.8397435897435898,0.8498575498575499,0.8397435897435898,0.8197919884666872,0.019
random,81,0.9492039251408951,9,23,euclidean,bootstrap,0.7756410256410257,0.7630945017741464,0.7756410256410257,0.7391922741959588,0.01
random,139,0.9829686811520805,9,28,euclidean,bootstrap,0.8012820512820513,0.7951566951566952,0.8012820512820513,0.7765420656986921,0.019
random,88,0.9745863758236737,4,16,euclidean,stratified,0.8141025641025641,0.8127498164613752,0.8141025641025641,0.8133885896289222,0.009
random,130,0.9888198242940466,4,12,euclidean,stratified,0.8333333333333334,0.8425925925925927,0.8333333333333334,0.8366366366366367,0.008
random,93,0.9562530453447984,3,26,manhattan,stratified,0.8397435897435898,0.8397768643570169,0.8397435897435898,0.8249724688957099,0.013
random,97,0.9090636526113861,7,26,cosine,stratified,0.7884615384615384,0.790671031096563,0.7884615384615384,0.749559418909264,0.014
random,90,0.9739077962728669,4,24,cosine,stratified,0.7628205128205128,0.7577251808021039,0.7628205128205128,0.7599684266350933,0.021
random,94,0.9468436004180192,4,24,manhattan,stratified,0.8333333333333334,0.8291703835860839,0.8333333333333334,0.8306034482758622,0.019
random,95,0.9453440634855469,3,25,manhattan,bootstrap,0.8076923076923077,0.7982248520710059,0.8076923076923077,0.7913730435427638,0.019
random,93,0.9514092183132766,5,26,cosine,stratified,0.8141025641025641,0.8070816206694069,0.8141025641025641,0.7969680639190234,0.024
random,94,0.9498844526141031,4,23,euclidean,stratified,0.8141025641025641,0.8127498164613752,0.8141025641025641,0.8133885896289222,0.023
random,94,0.9,5,23,cosine,stratified,0.8205128205128205,0.8201649097171486,0.8205128205128205,0.799705334987593,0.019
random,93,0.9618244168866485,3,27,cosine,stratified,0.8205128205128205,0.8324043106651803,0.8205128205128205,0.7931623931623931,0.034
random,93,0.99,5,23,cosine,bootstrap,0.7948717948717948,0.791898922333705,0.7948717948717948,0.7636141636141636,0.016
random,94,0.9,4,23,cosine,stratified,0.8333333333333334,0.8291703835860839,0.8333333333333334,0.8306034482758622,0.013
random,93,0.9,3,26,manhattan,stratified,0.8269230769230769,0.8234292425132121,0.8269230769230769,0.8109702664073666,0.014
random,93,0.99,4,23,manhattan,stratified,0.8333333333333334,0.8269045323047252,0.8333333333333334,0.827386262265834,0.012
random,55,0.9863182913213594,3,13,manhattan,bootstrap,0.7756410256410257,0.7580387551379918,0.7756410256410257,0.7549614564539937,0.011
random,57,0.9873134744998247,3,13,euclidean,smote,0.6858974358974359,0.813989361026826,0.6858974358974359,0.7029765528589058,0.019
random,94,0.9203998438971521,4,23,manhattan,stratified,0.7948717948717948,0.7919429708222812,0.7948717948717948,0.7932620931560487,0.033
random,93,0.9489895144944681,4,23,manhattan,stratified,0.8333333333333334,0.8291703835860839,0.8333333333333334,0.8306034482758622,0.037
random,51,0.9721403280392644,8,19,euclidean,stratified,0.7756410256410257,0.7586894586894587,0.7756410256410257,0.7477087838533623,0.023
random,93,0.9336141824475064,3,26,manhattan,bootstrap,0.8076923076923077,0.7998251748251749,0.8076923076923077,0.7885041787480811,0.034
random,53,0.9297853716152462,6,11,euclidean,bootstrap,0.7884615384615384,0.790671031096563,0.7884615384615384,0.749559418909264,0.014
random,93,0.99,4,23,manhattan,stratified,0.8333333333333334,0.8277777777777777,0.8333333333333334,0.8290598290598289,0.027
random,56,0.9208965940952718,9,10,euclidean,bootstrap,0.7948717948717948,0.791898922333705,0.7948717948717948,0.7636141636141636,0.015
random,144,0.9760221448776414,4,25,euclidean,oob,0.8397435897435898,0.8385920548168693,0.8397435897435898,0.8391280945076917,0.046
random,102,0.9720791115974841,9,22,euclidean,oob,0.7756410256410257,0.7630945017741464,0.7756410256410257,0.7391922741959588,0.028
random,93,0.9592232782522085,5,24,cosine,stratified,0.8141025641025641,0.8096034400382226,0.8141025641025641,0.7940828402366864,0.033
random,93,0.9358866378059884,3,26,manhattan,stratified,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8330984348342111,0.015
random,94,0.99,3,26,cosine,stratified,0.8461538461538461,0.8434495192307693,0.8461538461538461,0.8352193261284171,0.011
random,94,0.99,3,26,manhattan,stratified,0.8012820512820513,0.7903821339950372,0.8012820512820513,0.7908831582242484,0.009
random,93,0.9886233628643327,3,26,cosine,stratified,0.8461538461538461,0.8434495192307693,0.8461538461538461,0.8352193261284171,0.011
random,93,0.9,3,26,cosine,stratified,0.8461538461538461,0.8417582417582418,0.8461538461538461,0.8371794871794873,0.021
random,93,0.9,3,26,cosine,stratified,0.8397435897435898,0.8349694020342948,0.8397435897435898,0.82939449656766,0.025
random,93,0.9,3,27,cosine,stratified,0.8397435897435898,0.8397768643570169,0.8397435897435898,0.8249724688957099,0.011
random,93,0.99,3,27,cosine,stratified,0.8205128205128205,0.8201649097171486,0.8205128205128205,0.799705334987593,0.012
random,92,0.9,3,27,manhattan,stratified,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8167036215816703,0.014
random,92,0.9,4,26,manhattan,stratified,0.8076923076923077,0.8076923076923077,0.8076923076923077,0.8076923076923077,0.011
random,144,0.9,5,25,euclidean,oob,0.8012820512820513,0.7907339988256019,0.8012820512820513,0.7829658614306803,0.015
random,144,0.99,4,24,manhattan,oob,0.8076923076923077,0.8141380358771664,0.8076923076923077,0.8103459040959041,0.025
random,130,0.9384404790972029,4,11,euclidean,stratified,0.7756410256410257,0.7708744247205787,0.7756410256410257,0.7729431062764396,0.016
random,93,0.9799572775628811,4,22,manhattan,stratified,0.7948717948717948,0.7919429708222812,0.7948717948717948,0.7932620931560487,0.028
random,93,0.9,3,27,cosine,stratified,0.8653846153846154,0.8650452181540967,0.8653846153846154,0.8566913771168344,0.031
random,93,0.9,3,27,cosine,stratified,0.8333333333333334,0.828125,0.8333333333333334,0.8214876033057851,0.014
random,93,0.9,3,27,cosine,stratified,0.8717948717948718,0.8781065088757396,0.8717948717948718,0.8609153623618427,0.017
random,93,0.9,3,27,cosine,stratified,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8330984348342111,0.014
random,92,0.9,3,27,cosine,stratified,0.8205128205128205,0.8252828054298643,0.8205128205128205,0.7965657568238214,0.019
random,93,0.9,3,26,cosine,stratified,0.8269230769230769,0.8234292425132121,0.8269230769230769,0.8109702664073666,0.019
random,69,0.9697527286306754,8,19,manhattan,stratified,0.7948717948717948,0.7830710955710956,0.7948717948717948,0.7744044573312866,0.017
random,148,0.989248378320712,9,18,euclidean,oob,0.8012820512820513,0.7951566951566952,0.8012820512820513,0.7765420656986921,0.018
random,71,0.9756783197081538,5,28,manhattan,bootstrap,0.7948717948717948,0.7847823817973072,0.7948717948717948,0.7710918114143921,0.033
random,66,0.9156866713198266,7,10,euclidean,stratified,0.782051282051282,0.7663170163170163,0.782051282051282,0.760304735914492,0.012
random,94,0.9416283161348172,4,23,manhattan,stratified,0.8333333333333334,0.8291703835860839,0.8333333333333334,0.8306034482758622,0.024
random,93,0.9,3,27,cosine,stratified,0.8717948717948718
random,65,0.9052275250951379,9,21,euclidean,stratified,0.8076923076923077,0.8121516164994426,0.8076923076923077,0.7783882783882784,0.024
random,146,0.9191105199610449,7,10,manhattan,oob,0.7948717948717948,0.7876131221719458,0.7948717948717948,0.7675037220843672,0.015
