projection method,n_components,variance threshhold,k,nubmber of stimators,distance method,sampeling method,accuracy,precision,recall,f1_score,trainigtime
random,65,0.9052275250951379,9,21,euclidean,stratified,0.9853,0.9855405603716448,0.9853,0.9853230950927407,2.304
random,146,0.9191105199610449,7,10,manhattan,oob,0.9858,0.9860649965316972,0.9858,0.9858339651112837,0.139
random,93,0.9550667605250142,4,20,euclidean,stratified,0.9843,0.9847275421904446,0.9843,0.9843495547599379,0.172
random,128,0.946281099457225,5,19,euclidean,stratified,0.9861,0.9862922190665949,0.9861,0.9861196875758041,0.2
random,56,0.9869068829767104,3,13,manhattan,oob,0.9816,0.9818801600844623,0.9816,0.9816238232149973,0.063
random,94,0.9445659219100143,5,23,manhattan,stratified,0.9863,0.9865282455932702,0.9863,0.986328179411617,0.184
random,81,0.9492039251408951,9,23,euclidean,bootstrap,0.9854,0.985584395924192,0.9854,0.9854184470272214,0.172
random,139,0.9829686811520805,9,28,euclidean,bootstrap,0.9873,0.9874560546055591,0.9873,0.9873165519237369,0.34
random,88,0.9745863758236737,4,16,euclidean,stratified,0.9842,0.9846520176742602,0.9842,0.9842547358554496,0.148
random,130,0.9888198242940466,4,12,euclidean,stratified,0.9847,0.9850416020747149,0.9847,0.9847366609689862,0.141
random,139,0.99,9,28,euclidean,bootstrap,0.9871,0.9872647740147309,0.9871,0.9871221015862554,0.297
random,139,0.9019968323151761,9,28,euclidean,bootstrap,0.9872,0.9873895324545178,0.9872,0.9872211002137475,0.313
random,139,0.923726340212934,9,28,euclidean,bootstrap,0.9862,0.9864022836779391,0.9862,0.9862272841686401,0.328
random,139,0.9,9,28,euclidean,bootstrap,0.9867,0.986869989357094,0.9867,0.986717368469891,0.324
random,139,0.9703414432105082,9,28,euclidean,oob,0.9872,0.9873432841647731,0.9872,0.9872128454919313,0.327
random,139,0.9,9,28,euclidean,oob,0.9865,0.9866486154262105,0.9865,0.9865184801186151,0.318
pca,139,0.99,10,28,euclidean,bootstrap,0.9868,0.9869327052381967,0.9868,0.9868151517933189,1.475
random,139,0.99,9,28,euclidean,bootstrap,0.9865,0.9867026984247314,0.9865,0.9865250279585384,0.339
random,140,0.9073672807297818,9,27,euclidean,oob,0.9867,0.9868862208251309,0.9867,0.9867202795997108,0.309
random,139,0.99,8,28,euclidean,oob,0.9865,0.9867378613464749,0.9865,0.9865324016153126,0.324
pca,139,0.99,9,27,euclidean,oob,0.9868,0.9869713588791302,0.9868,0.9868192208997117,1.083
random,138,0.99,9,28,euclidean,bootstrap,0.9865,0.9866983763478302,0.9865,0.9865254756170149,0.301
pca,139,0.9,8,27,euclidean,oob,0.9871,0.987327489541903,0.9871,0.9871307555888192,0.667
pca,139,0.927185647377565,8,27,euclidean,oob,0.9864,0.9866101035107422,0.9864,0.9864283202820506,0.792
random,82,0.95,4,10,euclidean,stratified,0.9829,0.9833093577294191,0.9829,0.9829466405611418,0.067
pca,78,0.95,3,16,euclidean,balanced,0.9853,0.9854572672502276,0.9853,0.9853204934406847,0.511
pca,73,0.95,3,10,euclidean,stratified,0.9841,0.9842845856694201,0.9841,0.9841207219974877,0.289
pca,85,0.95,3,16,euclidean,balanced,0.9849,0.9850580596202831,0.9849,0.9849207891306739,0.552
random,76,0.95,5,14,euclidean,stratified,0.9857,0.9858853380717999,0.9857,0.9857216464244039,0.077
random,81,0.95,5,16,euclidean,stratified,0.9854,0.9856646537087499,0.9854,0.9854406306544208,0.109
pca,79,0.95,3,13,euclidean,stratified,0.986,0.9861405736763541,0.986,0.9860139111734577,0.463
random,100,0.95,3,20,euclidean,stratified,0.9868,0.986989057543865,0.9868,0.9868189685038751,0.184
random,100,0.95,3,16,euclidean,stratified,0.986,0.9862082944988795,0.986,0.9860227225920389,0.129
pca,100,0.95,5,20,euclidean,stratified,0.9869,0.9870625408458247,0.9869,0.9869235227173425,0.694
pca,98,0.95,3,20,euclidean,stratified,0.9853,0.9854418665669127,0.9853,0.9853185462256681,0.681
random,100,0.95,5,18,euclidean,balanced,0.9869,0.987054282299431,0.9869,0.9869158045130279,0.175
random,100,0.95,5,20,euclidean,balanced,0.9862,0.9864028032239648,0.9862,0.9862247130760344,0.164
pca,100,0.95,5,17,euclidean,stratified,0.9865,0.9866510765389883,0.9865,0.9865235810239077,0.546
pca,100,0.95,3,18,euclidean,balanced,0.9856,0.9857327168041631,0.9856,0.9856127664588848,0.578
random,98,0.95,5,16,euclidean,balanced,0.9867,0.986889371744386,0.9867,0.9867240379481009,0.134
random,95,0.95,5,14,euclidean,stratified,0.9858,0.9860120697620312,0.9858,0.9858212632910277,0.118
pca,100,0.95,5,20,euclidean,stratified,0.9869,0
random,57,0.95,4,15,euclidean,stratified,0.9831,0.9834351751414137,0.9831,0.9831352456962873,0.104
random,98,0.95,4,10,euclidean,stratified,0.9834,0.9838507663260915,0.9834,0.9834342271142054,0.089
random,71,0.95,3,15,euclidean,stratified,0.986,0.986179656355428,0.986,0.9860230736403477,0.078
random,89,0.95,3,14,euclidean,stratified,0.9862,0.9864213768743167,0.9862,0.9862263850611241,0.107
random,53,0.95,3,11,euclidean,stratified,0.9827,0.9830871128341956,0.9827,0.9827636118911159,0.048
random,72,0.95,3,16,euclidean,stratified,0.9852,0.9854385349092128,0.9852,0.9852240334424148,0.093
random,65,0.95,4,16,euclidean,stratified,0.983,0.9835305058837617,0.983,0.9830530413633866,0.1
random,94,0.95,4,19,euclidean,stratified,0.985,0.9852935594289236,0.985,0.9850392279891083,0.119
random,69,0.95,3,13,euclidean,stratified,0.9847,0.9849974770400886,0.9847,0.9847387802457395,0.063
random,90,0.95,3,11,euclidean,stratified,0.9855,0.9856662487738851,0.9855,0.9855214044144482,0.072
pca,74,0.95,3,13,euclidean,stratified,0.9855,0.9856385441184013,0.9855,0.9855184750589701,0.41
random,85,0.95,4,13,euclidean,stratified,0.985,0.985292643299848,0.985,0.9850228481514146,0.095
random,89,0.95,3,18,euclidean,stratified,0.9866,0.9867649222822483,0.9866,0.9866177233231112,0.11
pca,85,0.95,3,20,euclidean,stratified,0.9864,0.9865099266738846,0.9864,0.9864128672866038,0.646
pca,88,0.95,5,20,euclidean,stratified,0.987,0.9871284862454686,0.987,0.9870126388098656,0.643
pca,80,0.95,5,20,euclidean,balanced,0.9866,0.9867705381305186,0.9866,0.9866230045892095,0.619
random,85,0.95,5,20,euclidean,balanced,0.9862,0.9864044110225987,0.9862,0.9862230180009163,0.177
random,79,0.95,3,17,euclidean,stratified,0.9863,0.9864873823143043,0.9863,0.9863157074447592,0.123
pca,77,0.95,3,20,euclidean,balanced,0.9858,0.9859377496568829,0.9858,0.9858186795933427,0.664
random,90,0.95,5,17,euclidean,stratified,0.9871,0.987282735000524,0.9871,0.9871246836491177,0.127
random,50,0.95,5,20,euclidean,stratified,0.9851,0.9853575405545509,0.9851,0.9851300805607552,0.117
pca,88,0.95,5,17,euclidean,balanced,0.9865,0.9866630003700791,0.9865,0.9865215985741325,0.534
pca,90,0.95,3,20,euclidean,stratified,0.9858,0.9859530836591579,0.9858,0.9858180091728871,0.665
random,79,0.95,5,10,euclidean,stratified,0.9847,0.9849240661446147,0.9847,0.9847184674991158,0.061
random,81,0.95,3,20,euclidean,stratified,0.9872,0.9873617564539707,0.9872,0.9872215513462854,0.137
pca,82,0.95,3,18,euclidean,balanced,0.9859,0.9860444554060434,0.9859,0.985917120298157,0.581
random,79,0.95,5,20,euclidean,stratified,0.986,0.9861768628830334,0.986,0.9860191813624725,0.129
random,92,0.95,5,15,euclidean,balanced,0.9865,0.9866673607800654,0.9865,0.9865160756465488,0.137
random,100,0.95,3,20,euclidean,stratified,0.986,0.9861621181982011,0.986,0.9860194681029754,0.178
random,91,0.95,3,16,euclidean,stratified,0.9862,0.986392086285829,0.9862,0.9862220566033791,0.107
random,81,0.95,3,20,euclidean,stratified,0.9872,0
random,57,0.95,4,15,euclidean,stratified,0.9809,0.9814092407679377,0.9809,0.9809554387757645,0.095
random,98,0.95,4,10,euclidean,stratified,0.9839,0.9843467713773131,0.9839,0.9839453164566275,0.085
random,71,0.95,3,15,euclidean,stratified,0.9859,0.986090016946106,0.9859,0.9859214293444442,0.112
random,89,0.95,3,14,euclidean,stratified,0.9862,0.986380332532405,0.9862,0.9862120948700014,0.099
random,53,0.95,3,11,euclidean,stratified,0.9814,0.981763167388628,0.9814,0.9814547215547568,0.076
random,72,0.95,3,16,euclidean,stratified,0.9864,0.9866100328645588,0.9864,0.9864298753079762,0.106
random,65,0.95,4,16,euclidean,stratified,0.983,0.9834224505603856,0.983,0.9830526444054946,0.078
random,94,0.95,4,19,euclidean,stratified,0.9848,0.985118790189847,0.9848,0.9848355122496346,0.156
random,69,0.95,3,13,euclidean,stratified,0.9851,0.9852828649352752,0.9851,0.9851158696732074,0.092
random,90,0.95,3,11,euclidean,stratified,0.9848,0.984957543543002,0.9848,0.9848124335595243,0.101
random,80,0.95,3,20,euclidean,stratified,0.9861,0.9863652632629993,0.9861,0.9861296647446494,0.166
random,79,0.95,5,12,euclidean,stratified,0.9859,0.9861464837138662,0.9859,0.9859329801953454,0.085
pca,75,0.95,5,20,euclidean,balanced,0.9865,0.9866487479297746,0.9865,0.9865183505544117,0.689
