projection method,n_components,variance threshhold,k,nubmber of stimators,distance method,sampeling method,accuracy,precision,recall,f1_score,trainigtime
random,65,0.9052275250951379,9,21,euclidean,stratified,0.744139650872818,0.7038870492660965,0.744139650872818,0.6966499329571617,1.781
random,146,0.9191105199610449,7,10,manhattan,oob,0.7541147132169576,0.7306423623438083,0.7541147132169576,0.7224151043155973,0.015
random,93,0.9550667605250142,4,20,euclidean,stratified,0.7800498753117207,0.7692029189936265,0.7800498753117207,0.763453470151901,0.032
random,128,0.946281099457225,5,19,euclidean,stratified,0.772069825436409,0.7506739346891652,0.772069825436409,0.7432198541906744,0.046
random,56,0.9869068829767104,3,13,manhattan,oob,0.7865336658354115,0.7666112079533455,0.7865336658354115,0.7610511617558964,0.015
random,94,0.9445659219100143,5,23,manhattan,stratified,0.774064837905237,0.7536564629793178,0.774064837905237,0.7439556694856161,0.024
random,81,0.9492039251408951,9,23,euclidean,bootstrap,0.7571072319201995,0.7217550284399853,0.7571072319201995,0.713397253629747,0.048
random,139,0.9829686811520805,9,28,euclidean,bootstrap,0.7605985037406484,0.738887709448518,0.7605985037406484,0.720730974527424,0.07
random,88,0.9745863758236737,4,16,euclidean,stratified,0.7845386533665836,0.7727505360073181,0.7845386533665836,0.7690657108625198,0.042
random,130,0.9888198242940466,4,12,euclidean,stratified,0.7770573566084789,0.7665801826049007,0.7770573566084789,0.7649658196394414,0.021
random,50,0.99,3,10,cosine,smote,0.7077306733167082,0.793324277670214,0.7077306733167082,0.7321565404441867,0.039
random,89,0.9678582094550114,5,19,cosine,stratified,0.7780548628428927,0.7597023087667617,0.7780548628428927,0.7488889855186821,0.044
pca,60,0.99,3,14,euclidean,smote,0.6538653366583541,0.786703503319422,0.6538653366583541,0.6862466789735415,0.283
random,55,0.99,3,13,manhattan,oob,0.7735660847880299,0.7531916755856738,0.7735660847880299,0.7469655762331588,0.012
random,90,0.9660789682129951,4,18,euclidean,stratified,0.7815461346633417,0.7674795824813412,0.7815461346633417,0.7653301902151509,0.042
random,89,0.9591834381417474,6,17,euclidean,bootstrap,0.7566084788029925,0.7269066899813373,0.7566084788029925,0.7166693718347902,0.026
random,88,0.99,3,18,manhattan,stratified,0.7835411471321696,0.7674045015972975,0.7835411471321696,0.7617240736201066,0.015
random,90,0.9821191432052168,3,20,euclidean,stratified,0.7905236907730673,0.7754745314434426,0.7905236907730673,0.7710438871538473,0.02
random,90,0.9,3,20,cosine,oob,0.7905236907730673,0.7752570979092457,0.7905236907730673,0.7701504172047308,0.028
