Validation - Trees: 5, k: 3, Sample Size: 1.0, Feature Size: 0.8, Accuracy: 0.5641
Best Validation Parameters - Trees: 5, k: 3, Sample Size: 1.0, Feature Size: 0.8, Accuracy: 0.5641
Validation - Trees: 20, k: 3, Sample Size: 1.0, Feature Size: 1.0, Accuracy: 0.5513
Validation - Trees: 5, k: 3, Sample Size: 0.8, Feature Size: 0.8, Accuracy: 0.5385
Validation - Trees: 5, k: 3, Sample Size: 1.0, Feature Size: 0.6, Accuracy: 0.5385
Validation - Trees: 5, k: 3, Sample Size: 1.0, Feature Size: 1.0, Accuracy: 0.5385
Validation - Trees: 20, k: 3, Sample Size: 1.0, Feature Size: 0.8, Accuracy: 0.5385
Validation - Trees: 5, k: 3, Sample Size: 0.8, Feature Size: 1.0, Accuracy: 0.5256
Validation - Trees: 5, k: 5, Sample Size: 1.0, Feature Size: 0.8, Accuracy: 0.5128
Validation - Trees: 10, k: 3, Sample Size: 0.8, Feature Size: 0.6, Accuracy: 0.5128
Validation - Trees: 10, k: 3, Sample Size: 1.0, Feature Size: 0.6, Accuracy: 0.5128
Validation - Trees: 10, k: 3, Sample Size: 1.0, Feature Size: 1.0, Accuracy: 0.5128
Validation - Trees: 20, k: 3, Sample Size: 1.0, Feature Size: 0.6, Accuracy: 0.5128
Validation - Trees: 5, k: 3, Sample Size: 0.6, Feature Size: 1.0, Accuracy: 0.5000
Validation - Trees: 20, k: 3, Sample Size: 0.8, Feature Size: 1.0, Accuracy: 0.5000
Validation - Trees: 20, k: 5, Sample Size: 1.0, Feature Size: 0.8, Accuracy: 0.5000
Validation - Trees: 20, k: 5, Sample Size: 1.0, Feature Size: 1.0, Accuracy: 0.5000
Validation - Trees: 5, k: 3, Sample Size: 0.8, Feature Size: 0.6, Accuracy: 0.4872
Validation - Trees: 5, k: 5, Sample Size: 0.6, Feature Size: 0.6, Accuracy: 0.4872
Validation - Trees: 5, k: 5, Sample Size: 0.8, Feature Size: 1.0, Accuracy: 0.4872
Validation - Trees: 5, k: 5, Sample Size: 1.0, Feature Size: 0.6, Accuracy: 0.4872
Validation - Trees: 5, k: 10, Sample Size: 1.0, Feature Size: 0.6, Accuracy: 0.4872
Validation - Trees: 10, k: 3, Sample Size: 1.0, Feature Size: 0.8, Accuracy: 0.4872
Validation - Trees: 10, k: 5, Sample Size: 1.0, Feature Size: 0.8, Accuracy: 0.4872
Validation - Trees: 20, k: 3, Sample Size: 0.8, Feature Size: 0.6, Accuracy: 0.4872
Validation - Trees: 5, k: 5, Sample Size: 1.0, Feature Size: 1.0, Accuracy: 0.4744
Validation - Trees: 20, k: 3, Sample Size: 0.6, Feature Size: 1.0, Accuracy: 0.4744
Validation - Trees: 20, k: 3, Sample Size: 0.8, Feature Size: 0.8, Accuracy: 0.4744
Validation - Trees: 5, k: 3, Sample Size: 0.6, Feature Size: 0.8, Accuracy: 0.4615
Validation - Trees: 10, k: 3, Sample Size: 0.8, Feature Size: 0.8, Accuracy: 0.4615
Validation - Trees: 10, k: 3, Sample Size: 0.8, Feature Size: 1.0, Accuracy: 0.4615
Validation - Trees: 10, k: 5, Sample Size: 1.0, Feature Size: 0.6, Accuracy: 0.4615
Validation - Trees: 10, k: 10, Sample Size: 1.0, Feature Size: 1.0, Accuracy: 0.4615
Validation - Trees: 20, k: 3, Sample Size: 0.6, Feature Size: 0.6, Accuracy: 0.4615
Validation - Trees: 20, k: 3, Sample Size: 0.6, Feature Size: 0.8, Accuracy: 0.4615
Validation - Trees: 20, k: 5, Sample Size: 1.0, Feature Size: 0.6, Accuracy: 0.4615
Test Accuracy: 0.4551
Validation - Trees: 5, k: 5, Sample Size: 0.8, Feature Size: 0.6, Accuracy: 0.4487
Validation - Trees: 10, k: 3, Sample Size: 0.6, Feature Size: 0.6, Accuracy: 0.4487
Validation - Trees: 10, k: 5, Sample Size: 0.8, Feature Size: 1.0, Accuracy: 0.4487
Validation - Trees: 20, k: 5, Sample Size: 0.8, Feature Size: 0.6, Accuracy: 0.4487
Validation - Trees: 20, k: 5, Sample Size: 0.8, Feature Size: 0.8, Accuracy: 0.4487
Validation - Trees: 5, k: 3, Sample Size: 0.6, Feature Size: 0.6, Accuracy: 0.4359
Validation - Trees: 5, k: 5, Sample Size: 0.6, Feature Size: 0.8, Accuracy: 0.4359
Validation - Trees: 5, k: 10, Sample Size: 0.6, Feature Size: 0.8, Accuracy: 0.4359
Validation - Trees: 5, k: 10, Sample Size: 0.6, Feature Size: 1.0, Accuracy: 0.4359
