Validation - Trees: 20, k values: [1, 3, 5], Sample Size: 0.6, Feature Size: 0.8, Distance: cosine, Accuracy: 0.9903
Validation - Trees: 20, k values: [1, 3, 5], Sample Size: 0.6, Feature Size: 1.0, Distance: cosine, Accuracy: 0.9903
Validation - Trees: 10, k values: [3, 5, 7], Sample Size: 0.8, Feature Size: 1.0, Distance: cosine, Accuracy: 0.9899
Validation - Trees: 10, k values: [3, 5, 7], Sample Size: 1.0, Feature Size: 0.8, Distance: cosine, Accuracy: 0.9899
Validation - Trees: 10, k values: [3, 5, 7], Sample Size: 0.6, Feature Size: 1.0, Distance: cosine, Accuracy: 0.9898
Validation - Trees: 10, k values: [3, 5, 7], Sample Size: 1.0, Feature Size: 0.6, Distance: cosine, Accuracy: 0.9898
Validation - Trees: 10, k values: [5, 7, 9], Sample Size: 0.8, Feature Size: 0.6, Distance: cosine, Accuracy: 0.9897
Validation - Trees: 10, k values: [3, 5, 7], Sample Size: 0.6, Feature Size: 0.6, Distance: cosine, Accuracy: 0.9896
Validation - Trees: 5, k values: [3, 5, 7], Sample Size: 1.0, Feature Size: 1.0, Distance: cosine, Accuracy: 0.9895
Validation - Trees: 5, k values: [5, 7, 9], Sample Size: 1.0, Feature Size: 0.6, Distance: cosine, Accuracy: 0.9895
Validation - Trees: 10, k values: [5, 7, 9], Sample Size: 1.0, Feature Size: 0.6, Distance: cosine, Accuracy: 0.9895
Validation - Trees: 20, k values: [1, 3, 5], Sample Size: 0.8, Feature Size: 0.6, Distance: cosine, Accuracy: 0.9895
Validation - Trees: 10, k values: [1, 3, 5], Sample Size: 0.6, Feature Size: 1.0, Distance: cosine, Accuracy: 0.9894
Validation - Trees: 10, k values: [3, 5, 7], Sample Size: 0.8, Feature Size: 0.6, Distance: cosine, Accuracy: 0.9894
Validation - Trees: 10, k values: [5, 7, 9], Sample Size: 0.6, Feature Size: 1.0, Distance: cosine, Accuracy: 0.9894
Validation - Trees: 10, k values: [5, 7, 9], Sample Size: 0.8, Feature Size: 0.8, Distance: cosine, Accuracy: 0.9894
Validation - Trees: 10, k values: [5, 7, 9], Sample Size: 0.8, Feature Size: 1.0, Distance: cosine, Accuracy: 0.9894
Validation - Trees: 20, k values: [1, 3, 5], Sample Size: 0.8, Feature Size: 0.8, Distance: cosine, Accuracy: 0.9894
Validation - Trees: 5, k values: [5, 7, 9], Sample Size: 0.8, Feature Size: 0.6, Distance: cosine, Accuracy: 0.9893
Validation - Trees: 5, k values: [5, 7, 9], Sample Size: 1.0, Feature Size: 1.0, Distance: cosine, Accuracy: 0.9893
Validation - Trees: 10, k values: [3, 5, 7], Sample Size: 1.0, Feature Size: 1.0, Distance: cosine, Accuracy: 0.9893
Validation - Trees: 5, k values: [3, 5, 7], Sample Size: 0.8, Feature Size: 0.6, Distance: cosine, Accuracy: 0.9891
Validation - Trees: 5, k values: [3, 5, 7], Sample Size: 1.0, Feature Size: 0.6, Distance: cosine, Accuracy: 0.9891
Validation - Trees: 5, k values: [5, 7, 9], Sample Size: 0.6, Feature Size: 0.8, Distance: cosine, Accuracy: 0.9891
