method,n_components,variance_threshold,k,n_classifiers,distance_metric,sampling_method,accuracy,precision,recall,f1_score
random,59,0.9003229187915059,4,17,euclidean,oob,0.8397435897435898,0.8337313093410654,0.8397435897435898,0.8331710483609217
random,128,0.9519603269186627,3,18,euclidean,bootstrap,0.8141025641025641,0.8055318665074762,0.8141025641025641,0.8064784160986693
random,99,0.9520558771926061,9,10,euclidean,oob,0.782051282051282,0.7687782805429865,0.782051282051282,0.7529727047146402
random,56,0.9869068829767104,3,13,manhattan,oob,0.8012820512820513,0.7992996246934012,0.8012820512820513,0.7729234386539593
random,92,0.9473292807225071,7,18,manhattan,oob,0.7884615384615384,0.7797955022311535,0.7884615384615384,0.7582733379219565
random,128,0.946281099457225,5,19,euclidean,bootstrap,0.8076923076923077,0.7998251748251749,0.8076923076923077,0.7885041787480811
random,97,0.9076514797853906,3,22,euclidean,oob,0.8589743589743589,0.8587740384615384,0.8589743589743589,0.848951048951049
random,146,0.9191105199610449,7,10,manhattan,oob,0.7948717948717948,0.7830710955710956,0.7948717948717948,0.7744044573312866
random,97,0.9076514797853906,3,22,euclidean,oob,0.8269230769230769,0.8234292425132121,0.8269230769230769,0.8109702664073666
random,95,0.9129073767458951,8,26,cosine,bootstrap,0.8012820512820513,0.7898556778545919,0.8012820512820513,0.7884491757438985
